,title,publication_info,cited_by
0,A guide to machine learning for biologists,"JG Greener, SM Kandathil, L Moffat… - Nature reviews Molecular …, 2022 - nature.com",Cited by 1103
1,[PDF][PDF] Open-environment machine learning,"ZH Zhou - National Science Review, 2022 - academic.oup.com",Cited by 123
2,Machine learning and deep learning: A review of methods and applications,"K Sharifani, M Amini - World Information Technology and …, 2023 - papers.ssrn.com",Cited by 270
3,[PDF][PDF] International conference on machine learning,"W Li, C Wang, G Cheng, Q Song - Transactions on machine learning …, 2023 - par.nsf.gov",Cited by 1568
4,[BOOK][B] Probabilistic machine learning: an introduction,KP Murphy - 2022 - books.google.com,Cited by 1020
5,Machine learning for microbiologists,"F Asnicar, AM Thomas, A Passerini… - Nature Reviews …, 2024 - nature.com",Cited by 50
6,Agricultural databases evaluation with machine learning procedure,"M Amini, A Rahmani - … Journal of Engineering and Applied Science, 2023 - papers.ssrn.com",Cited by 149
7,[BOOK][B] Machine learning: the basics,A Jung - 2022 - books.google.com,Cited by 134
8,[BOOK][B] Probabilistic machine learning: Advanced topics,KP Murphy - 2023 - books.google.com,Cited by 345
9,[HTML][HTML] A review of the application of machine learning in water quality evaluation,"M Zhu, J Wang, X Yang, Y Zhang, L Zhang… - Eco-Environment & …, 2022 - Elsevier",Cited by 291
10,[HTML][HTML] Human-in-the-loop machine learning: a state of the art,"E Mosqueira-Rey, E Hernández-Pereira… - Artificial Intelligence …, 2023 - Springer",Cited by 336
11,"Machine learning operations (mlops): Overview, definition, and architecture","D Kreuzberger, N Kühl, S Hirschl - IEEE access, 2023 - ieeexplore.ieee.org",Cited by 399
12,Scientific machine learning benchmarks,"J Thiyagalingam, M Shankar, G Fox, T Hey - Nature Reviews Physics, 2022 - nature.com",Cited by 102
13,Challenges in deploying machine learning: a survey of case studies,"A Paleyes, RG Urma, ND Lawrence - ACM computing surveys, 2022 - dl.acm.org",Cited by 456
14,"[HTML][HTML] Combustion machine learning: Principles, progress and prospects","M Ihme, WT Chung, AA Mishra - Progress in Energy and Combustion …, 2022 - Elsevier",Cited by 163
15,Machine learning for nanoplasmonics,"JF Masson, JS Biggins, E Ringe - Nature Nanotechnology, 2023 - nature.com",Cited by 42
16,Machine learning in the search for new fundamental physics,"G Karagiorgi, G Kasieczka, S Kravitz… - Nature Reviews …, 2022 - nature.com",Cited by 141
17,[PDF][PDF] Intelligent metaphotonics empowered by machine learning,"S Krasikov, A Tranter, A Bogdanov… - Opto-Electronic …, 2022 - researching.cn",Cited by 134
18,A survey of human-in-the-loop for machine learning,"X Wu, L Xiao, Y Sun, J Zhang, T Ma, L He - Future Generation Computer …, 2022 - Elsevier",Cited by 508
