,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
0,A guide to machine learning for biologists,"JG Greener, SM Kandathil, L Moffat…",2022," Nature reviews Molecular …,",nature.com,1103,367.6666666666667
1,Open-environment machine learning,ZH Zhou,2022," National Science Review,",academic.oup.com,123,41.0
2,Machine learning and deep learning: A review of methods and applications,"K Sharifani, M Amini",2023," World Information Technology and …,",papers.ssrn.com,270,135.0
3,International conference on machine learning,"W Li, C Wang, G Cheng, Q Song",2023," Transactions on machine learning …,",par.nsf.gov,1568,784.0
4,Probabilistic machine learning: an introduction,KP Murphy,2022,,books.google.com,1020,340.0
5,Machine learning for microbiologists,"F Asnicar, AM Thomas, A Passerini…",2024," Nature Reviews …,",nature.com,50,50.0
6,Agricultural databases evaluation with machine learning procedure,"M Amini, A Rahmani",2023," … Journal of Engineering and Applied Science,",papers.ssrn.com,149,74.5
7,Machine learning: the basics,A Jung,2022,,books.google.com,134,44.666666666666664
8,Probabilistic machine learning: Advanced topics,KP Murphy,2023,,books.google.com,345,172.5
9,A review of the application of machine learning in water quality evaluation,"M Zhu, J Wang, X Yang, Y Zhang, L Zhang…",2022," Eco-Environment & …,",Elsevier,291,97.0
10,Human-in-the-loop machine learning: a state of the art,"E Mosqueira-Rey, E Hernández-Pereira…",2023," Artificial Intelligence …,",Springer,336,168.0
11,"Machine learning operations (mlops): Overview, definition, and architecture","D Kreuzberger, N Kühl, S Hirschl",2023," IEEE access,",ieeexplore.ieee.org,399,199.5
12,Scientific machine learning benchmarks,"J Thiyagalingam, M Shankar, G Fox, T Hey",2022," Nature Reviews Physics,",nature.com,102,34.0
13,Challenges in deploying machine learning: a survey of case studies,"A Paleyes, RG Urma, ND Lawrence",2022," ACM computing surveys,",dl.acm.org,456,152.0
14,"Combustion machine learning: Principles, progress and prospects","M Ihme, WT Chung, AA Mishra",2022," Progress in Energy and Combustion …,",Elsevier,163,54.333333333333336
15,Machine learning for nanoplasmonics,"JF Masson, JS Biggins, E Ringe",2023," Nature Nanotechnology,",nature.com,42,21.0
16,Machine learning in the search for new fundamental physics,"G Karagiorgi, G Kasieczka, S Kravitz…",2022," Nature Reviews …,",nature.com,141,47.0
17,Intelligent metaphotonics empowered by machine learning,"S Krasikov, A Tranter, A Bogdanov…",2022," Opto-Electronic …,",researching.cn,134,44.666666666666664
18,A survey of human-in-the-loop for machine learning,"X Wu, L Xiao, Y Sun, J Zhang, T Ma, L He",2022," Future Generation Computer …,",Elsevier,508,169.33333333333334
19,"Impact of machine learning on management, healthcare and agriculture","H Pallathadka, M Mustafa, DT Sanchez…",2023," Materials Today …,",Elsevier,188,94.0
20,Designing machine learning systems,C Huyen,2022,,books.google.com,172,57.333333333333336
21,Financial machine learning,"B Kelly, D Xiu",2023," Foundations and Trends® in Finance,",nowpublishers.com,44,22.0
22,A systematic review of teaching and learning machine learning in K-12 education,"IT Sanusi, SS Oyelere, H Vartiainen, J Suhonen…",2023," Education and …,",Springer,96,48.0
23,A review of molecular representation in the age of machine learning,"DS Wigh, JM Goodman…",2022," Wiley Interdisciplinary …,",Wiley Online Library,193,64.33333333333333
24,A machine learning tutorial for operational meteorology. Part I: Traditional machine learning,"RJ Chase, DR Harrison, A Burke…",2022," Weather and …,",journals.ametsoc.org,55,18.333333333333332
25,Machine learning for combustion,"L Zhou, Y Song, W Ji, H Wei",2022," Energy and AI,",Elsevier,141,47.0
26,Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"S Raschka, YH Liu, V Mirjalili",2022,,books.google.com,163,54.333333333333336
27,"Understanding of machine learning with deep learning: architectures, workflow, applications and future directions",MM Taye,2023," Computers,",mdpi.com,315,157.5
28,Machine learning in environmental research: common pitfalls and best practices,"JJ Zhu, M Yang, ZJ Ren",2023," Environmental Science & Technology,",ACS Publications,133,66.5
29,Small data machine learning in materials science,"P Xu, X Ji, M Li, W Lu",2023," npj Computational Materials,",nature.com,162,81.0
30,Pdebench: An extensive benchmark for scientific machine learning,"M Takamoto, T Praditia, R Leiteritz…",2022," Advances in …,",proceedings.neurips.cc,144,48.0
31,Fairness in machine learning: A survey,"S Caton, C Haas",2024," ACM Computing Surveys,",dl.acm.org,641,641.0
32,"Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions","PP Liang, A Zadeh, LP Morency",2022," arXiv preprint arXiv:2209.03430,",arxiv.org,138,46.0
33,AI and machine learning for real-world problems,"H Nozari, J Ghahremani-Nahr, A Szmelter-Jarosz",2024," Advances In Computers,",Elsevier,53,53.0
34,OMLT: Optimization & machine learning toolkit,"F Ceccon, J Jalving, J Haddad, A Thebelt…",2022," … of Machine Learning …,",jmlr.org,77,25.666666666666668
35,Underspecification presents challenges for credibility in modern machine learning,"A D'Amour, K Heller, D Moldovan, B Adlam…",2022," … of Machine Learning …,",jmlr.org,748,249.33333333333334
36,Darts: User-friendly modern machine learning for time series,"J Herzen, F Lässig, SG Piazzetta, T Neuer…",2022," … of Machine Learning …,",jmlr.org,219,73.0
37,Future of machine learning in geotechnics,"KK Phoon, W Zhang",2023," … : Assessment and Management of Risk for …,",Taylor & Francis,161,80.5
38,Machine learning for a sustainable energy future,"Z Yao, Y Lum, A Johnston, LM Mejia-Mendoza…",2023," Nature Reviews …,",nature.com,156,78.0
39,Participation is not a design fix for machine learning,"M Sloane, E Moss, O Awomolo, L Forlano",2022," Proceedings of the 2nd ACM …,",dl.acm.org,209,69.66666666666667
40,Machine learning in cybersecurity: Techniques and challenges,J Bharadiya,2023," European Journal of Technology,",ajpojournals.org,95,47.5
41,Challenges and opportunities in quantum machine learning,"M Cerezo, G Verdon, HY Huang, L Cincio…",2022," Nature Computational …,",nature.com,340,113.33333333333333
42,A short review on machine learning,TK Hua,2022," Authorea Preprints,",authorea.com,77,25.666666666666668
43,Predictive analysis of heart diseases with machine learning approaches,"TR Ramesh, UK Lilhore, M Poongodi…",2022," Malaysian Journal of …,",jpmm.um.edu.my,407,135.66666666666666
44,Findings on teaching machine learning in high school: A ten-year systematic literature review,"RM Martins, C Gresse Von Wangenheim",2023," Informatics in Education,",ceeol.com,257,128.5
45,Utilizing machine learning and deep learning in cybesecurity: an innovative approach,"K Dushyant, G Muskan, Annu, A Gupta…",2022," Cyber security and …,",Wiley Online Library,132,44.0
46,Coronavirus disease (COVID-19) cases analysis using machine-learning applications,"AS Kwekha-Rashid, HN Abduljabbar, B Alhayani",2023," Applied Nanoscience,",Springer,328,164.0
47,Roadmap on machine learning in electronic structure,"HJ Kulik, T Hammerschmidt, J Schmidt, S Botti…",2022," Electronic …,",iopscience.iop.org,127,42.333333333333336
48,Enhancing computational fluid dynamics with machine learning,"R Vinuesa, SL Brunton",2022," Nature Computational Science,",nature.com,334,111.33333333333333
49,Trustworthy machine learning,KR Vashney,2022,,trustworthymachinelearning.com,85,28.333333333333332
50,"Machine learning and artificial intelligence in CNC machine tools, a review","M Soori, B Arezoo, R Dastres",2023," Sustainable Manufacturing and Service …,",Elsevier,101,50.5
51,Stable learning establishes some common ground between causal inference and machine learning,"P Cui, S Athey",2022," Nature Machine Intelligence,",nature.com,142,47.333333333333336
52,A review on fairness in machine learning,"D Pessach, E Shmueli",2022," ACM Computing Surveys (CSUR),",dl.acm.org,451,150.33333333333334
53,Machine learning in materials chemistry: An invitation,"D Packwood, LTH Nguyen, P Cesana, G Zhang…",2022," Machine Learning with …,",Elsevier,40,13.333333333333334
54,Navigating the pitfalls of applying machine learning in genomics,"S Whalen, J Schreiber, WS Noble…",2022," Nature Reviews Genetics,",nature.com,193,64.33333333333333
55,"Machine learning in concrete science: applications, challenges, and best practices","Z Li, J Yoon, R Zhang, F Rajabipour…",2022," npj computational …,",nature.com,137,45.666666666666664
56,Colloquium: Machine learning in nuclear physics,"A Boehnlein, M Diefenthaler, N Sato, M Schram…",2022," Reviews of modern …,",APS,142,47.333333333333336
57,A Novel Machine Learning Approaches for Issues in Civil Engineering,"F Tahir, L Ghafoor",2023," OSF Preprints. April,",easychair.org,75,37.5
58,Machine learning for structural engineering: A state-of-the-art review,HT Thai,2022," Structures,",Elsevier,363,121.0
59,Machine learning and deep learning—A review for ecologists,"M Pichler, F Hartig",2023," Methods in Ecology and Evolution,",Wiley Online Library,128,64.0
60,Exploring teachers' preconceptions of teaching machine learning in high school: A preliminary insight from Africa,"IT Sanusi, SS Oyelere, JO Omidiora",2022," Computers and Education Open,",Elsevier,275,91.66666666666667
61,Machine learning in medical applications: A review of state-of-the-art methods,"M Shehab, L Abualigah, Q Shambour…",2022," Computers in Biology …,",Elsevier,301,100.33333333333333
62,Artificial intelligence and machine learning: present and future applications in health sciences,"FAR Rodríguez, LG Flores…",2022," Seminars in Medical …,",mw.ageditor.ar,66,22.0
63,"Advancements and challenges in machine learning: A comprehensive review of models, libraries, applications, and algorithms","S Tufail, H Riggs, M Tariq, AI Sarwat",2023," Electronics,",mdpi.com,74,37.0
64,The values encoded in machine learning research,"A Birhane, P Kalluri, D Card, W Agnew…",2022," Proceedings of the …,",dl.acm.org,290,96.66666666666667
65,Machine learning and AI in business intelligence: Trends and opportunities,JP Bharadiya,2023," International Journal of Computer (IJC),",researchgate.net,276,138.0
66,A review of physics-based machine learning in civil engineering,"SR Vadyala, SN Betgeri, JC Matthews…",2022," Results in Engineering,",Elsevier,151,50.333333333333336
67,Machine-learning-based disease diagnosis: A comprehensive review,"MM Ahsan, SA Luna, Z Siddique",2022," Healthcare,",mdpi.com,293,97.66666666666667
68,A review on machine learning styles in computer vision—techniques and future directions,"SV Mahadevkar, B Khemani, S Patil, K Kotecha…",2022," Ieee …,",ieeexplore.ieee.org,132,44.0
69,A survey on dataset quality in machine learning,"Y Gong, G Liu, Y Xue, R Li, L Meng",2023," Information and Software Technology,",Elsevier,50,25.0
70,Machine learning on graphs: A model and comprehensive taxonomy,"I Chami, S Abu-El-Haija, B Perozzi, C Ré…",2022," … of Machine Learning …,",jmlr.org,359,119.66666666666667
71,"Has the future started? The current growth of artificial intelligence, machine learning, and deep learning","K Aggarwal, MM Mijwil, AH Al-Mistarehi…",2022," Iraqi Journal for …,",iasj.net,284,94.66666666666667
72,Interpretable machine learning: Fundamental principles and 10 grand challenges,"C Rudin, C Chen, Z Chen, H Huang…",2022," Statistic …,",projecteuclid.org,737,245.66666666666666
73,Promising directions of machine learning for partial differential equations,"SL Brunton, JN Kutz",2024," Nature Computational Science,",nature.com,5,5.0
74,Predictive models for concrete properties using machine learning and deep learning approaches: A review,"MM Moein, A Saradar, K Rahmati…",2023," Journal of Building …,",Elsevier,196,98.0
75,"Artificial intelligence and machine learning in clinical medicine, 2023","CJ Haug, JM Drazen",2023," New England Journal of Medicine,",Mass Medical Soc,551,275.5
76,Machine learning in drug discovery: a review,"S Dara, S Dhamercherla, SS Jadav, CHM Babu…",2022," Artificial intelligence …,",Springer,451,150.33333333333334
77,Machine learning for wireless sensor networks security: An overview of challenges and issues,"R Ahmad, R Wazirali, T Abu-Ain",2022," Sensors,",mdpi.com,126,42.0
78,Causal machine learning: A survey and open problems,"J Kaddour, A Lynch, Q Liu, MJ Kusner…",2022," arXiv preprint arXiv …,",arxiv.org,137,45.666666666666664
79,"A review of Bayesian machine learning principles, methods, and applications",JP Bharadiya,2023," International Journal of Innovative Science and …,",researchgate.net,58,29.0
80,Innovative materials science via machine learning,"C Gao, X Min, M Fang, T Tao, X Zheng…",2022," Advanced Functional …,",Wiley Online Library,120,40.0
81,"Artificial intelligence, machine learning and deep learning in advanced robotics, a review","M Soori, B Arezoo, R Dastres",2023," Cognitive Robotics,",Elsevier,409,204.5
82,"Machine learning: Past, present and future","A Tyagi, S Kukreja, MN Meghna, AK Tyagi",2022," Neuroquantology,",search.proquest.com,41,13.666666666666666
83,Interpretable machine learning for science with PySR and SymbolicRegression. jl,M Cranmer,2023," arXiv preprint arXiv:2305.01582,",arxiv.org,143,71.5
84,Machine learning and the five big ideas in AI,"D Touretzky, C Gardner-McCune…",2023," International Journal of …,",Springer,55,27.5
85,Machine learning process evaluating damage classification of composites,"M Amini, A Rahmani",2023," International Journal of Science and …,",papers.ssrn.com,120,60.0
86,Data-driven machine learning in environmental pollution: gains and problems,"X Liu, D Lu, A Zhang, Q Liu, G Jiang",2022," Environmental science & …,",ACS Publications,203,67.66666666666667
87,Machine learning in disaster management: recent developments in methods and applications,"V Linardos, M Drakaki, P Tzionas…",2022," Machine Learning and …,",mdpi.com,130,43.333333333333336
