,kwh,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,wchill
2022-01-01 00:00:00,1.236,2.0,1.4,96.0,0.2,,102.0,6.8,,1016.0,,,-0.01054623793256293
2022-01-01 01:00:00,1.898,1.7,1.1,96.0,0.3,,0.0,0.0,,1015.6,,,14.176549999999999
2022-01-01 02:00:00,1.611,1.1,1.1,100.0,1.3,,0.0,0.0,,1015.3,,,13.80365
2022-01-01 03:00:00,1.522,1.7,1.7,100.0,0.8,,0.0,0.0,,1015.0,,,14.176549999999999
2022-01-01 04:00:00,1.709,1.7,1.1,96.0,0.8,,0.0,0.0,,1015.0,,5.0,14.176549999999999
2022-01-01 05:00:00,1.857,2.2,2.2,100.0,0.3,,0.0,0.0,,1014.3,,5.0,14.4873
2022-01-01 06:00:00,1.887,1.7,1.1,96.0,0.0,,0.0,0.0,,1014.4,,5.0,14.176549999999999
2022-01-01 07:00:00,1.959,1.7,1.7,100.0,0.0,,0.0,0.0,,1015.0,,5.0,14.176549999999999
2022-01-01 08:00:00,2.054,1.7,1.1,96.0,0.0,,0.0,0.0,,1014.7,,5.0,14.176549999999999
2022-01-01 09:00:00,2.014,1.7,1.7,100.0,0.0,,0.0,0.0,,1014.6,,5.0,14.176549999999999
2022-01-01 10:00:00,1.931,1.7,1.7,100.0,0.0,,0.0,0.0,,1013.9,,5.0,14.176549999999999
2022-01-01 11:00:00,1.063,1.1,1.1,100.0,0.0,,0.0,0.0,,1014.3,,5.0,13.80365
2022-01-01 12:00:00,0.99,1.7,1.1,96.0,0.0,,0.0,0.0,,1013.7,,5.0,14.176549999999999
2022-01-01 13:00:00,0.922,1.7,1.7,100.0,0.0,,0.0,0.0,,1013.6,,5.0,14.176549999999999
2022-01-01 14:00:00,0.821,2.2,2.2,100.0,0.0,,0.0,0.0,,1013.5,,5.0,14.4873
2022-01-01 15:00:00,0.836,2.8,2.2,96.0,0.1,,0.0,0.0,,1013.2,,5.0,14.860199999999999
2022-01-01 16:00:00,1.08,3.9,3.9,100.0,0.3,,0.0,0.0,,1011.7,,5.0,15.543849999999999
2022-01-01 17:00:00,0.811,5.0,4.4,96.0,0.3,,0.0,0.0,,1009.9,,5.0,16.2275
2022-01-01 18:00:00,1.25,5.6,5.6,100.0,0.9,,0.0,0.0,,1008.9,,5.0,16.6004
2022-01-01 19:00:00,1.914,3.9,3.9,100.0,0.0,,0.0,0.0,,1008.9,,5.0,15.543849999999999
2022-01-01 20:00:00,1.882,3.9,3.9,100.0,0.3,,0.0,0.0,,1008.1,,5.0,15.543849999999999
2022-01-01 21:00:00,0.934,5.0,5.0,100.0,0.3,,0.0,0.0,,1007.4,,5.0,16.2275
2022-01-01 22:00:00,0.946,3.9,3.9,100.0,0.0,,0.0,0.0,,1007.1,,5.0,15.543849999999999
2022-01-01 23:00:00,1.135,2.2,2.2,100.0,0.0,,0.0,0.0,,1007.2,,5.0,14.4873
2022-01-02 00:00:00,1.037,3.3,2.9,97.0,0.0,,0.0,0.0,,1006.9,,5.0,15.17095
2022-01-02 01:00:00,0.917,2.8,2.8,100.0,0.0,,0.0,0.0,,1007.1,,5.0,14.860199999999999
2022-01-02 02:00:00,0.924,2.8,2.8,100.0,0.0,,0.0,0.0,,1006.0,,5.0,14.860199999999999
2022-01-02 03:00:00,0.881,2.2,2.2,100.0,0.0,,0.0,0.0,,1005.6,,5.0,14.4873
2022-01-02 04:00:00,1.538,1.7,1.7,100.0,0.0,,0.0,0.0,,1005.4,,5.0,14.176549999999999
2022-01-02 05:00:00,1.552,2.2,2.2,100.0,0.0,,0.0,0.0,,1004.6,,5.0,14.4873
2022-01-02 06:00:00,1.189,2.2,2.2,100.0,0.0,,0.0,0.0,,1003.5,,5.0,14.4873
2022-01-02 07:00:00,1.772,1.7,1.7,100.0,0.0,,0.0,0.0,,1003.5,,,14.176549999999999
2022-01-02 08:00:00,1.795,2.8,2.2,96.0,0.0,,20.0,5.4,,1003.6,,,1.4225942053586498
2022-01-02 09:00:00,1.764,2.8,2.2,96.0,0.0,,0.0,0.0,,1002.1,,,14.860199999999999
2022-01-02 10:00:00,1.819,2.8,2.2,96.0,0.0,,0.0,0.0,,1001.9,,,14.860199999999999
2022-01-02 11:00:00,1.95,2.8,2.8,100.0,0.0,,0.0,0.0,,1001.9,,,14.860199999999999
2022-01-02 12:00:00,2.44,2.8,2.8,100.0,0.0,,0.0,0.0,,1001.9,,,14.860199999999999
2022-01-02 13:00:00,5.894,3.3,2.9,97.0,0.0,,30.0,5.4,,1001.0,,,1.992998910985236
2022-01-02 14:00:00,3.445,3.9,3.3,96.0,0.3,,30.0,5.4,,1001.0,,,2.6774845577371393
2022-01-02 15:00:00,4.627,3.9,3.3,96.0,0.0,,20.0,7.6,,1001.3,,5.0,1.9543632147836205
2022-01-02 16:00:00,1.496,3.9,3.3,96.0,0.0,,20.0,9.4,,1000.7,,5.0,1.4842379432866282
2022-01-02 17:00:00,2.773,3.9,3.3,96.0,0.0,,6.0,9.4,,1000.6,,5.0,1.4842379432866282
2022-01-02 18:00:00,3.286,3.3,2.9,97.0,0.3,,0.0,0.0,,1001.2,,5.0,15.17095
2022-01-02 19:00:00,2.452,3.3,2.3,93.0,0.3,,356.0,7.6,,1001.8,,,1.2523656893014445
2022-01-02 20:00:00,0.923,2.8,1.8,93.0,0.5,,359.0,7.6,,1002.5,,,0.6673677513996312
2022-01-02 21:00:00,1.05,1.7,0.5,92.0,0.0,,344.0,7.6,,1003.3,,,-0.6196277119843581
2022-01-02 22:00:00,1.036,1.1,-0.1,92.0,0.3,,353.0,5.4,,1004.5,,,-0.5167817937717426
2022-01-02 23:00:00,0.472,0.6,0.0,96.0,0.1,,350.0,5.4,,1005.8,,,-1.0871864993983293
2022-01-03 00:00:00,1.494,0.0,-1.8,88.0,0.1,,354.0,9.4,,1007.9,,,-3.1527488341737584
2022-01-03 01:00:00,0.912,0.0,-2.9,81.0,0.0,,346.0,5.4,,1010.0,,,-1.771672146150232
2022-01-03 02:00:00,1.759,-0.6,-2.8,85.0,0.0,,347.0,5.4,,1010.8,,,-2.4561577929021348
2022-01-03 03:00:00,1.993,-1.1,-3.3,85.0,0.0,,0.0,0.0,,1011.7,,,12.43635
2022-01-03 04:00:00,1.563,-1.1,-3.3,85.0,0.0,,339.0,5.4,,1012.5,,,-3.0265624985287216
2022-01-03 05:00:00,2.521,-2.2,-6.8,71.0,0.0,,316.0,11.2,,1013.8,,,-6.266599400998523
2022-01-03 06:00:00,2.668,-3.9,-8.2,72.0,0.0,,319.0,9.4,,1014.9,,,-7.7897356116341445
