,72608,72619,72712,74392,72606,72713,KMLT0,72607,KAUG0
1889,,,,,,,,,
1890,,,,,,,,,
1891,,,,,,,,,
1892,,,,,,,,,
1893,7202.31,,,,,,,,
1894,6710.969999999999,,,,,,,,
1895,6394.41,,,,,,,,
1896,7084.98,,,,,,,,
1897,6690.78,,,,,,,,
1898,6348.450000000001,,,,,,,,
1899,6562.950000000001,,,,,,,,
1900,,,,,,,,,
1901,6743.699999999999,,,,,,,,
1902,6224.16,,,,,,,,
1903,6660.84,,,,,,,,
1904,8086.4400000000005,,,,,,,,
1905,7246.23,,,,,,,,
1906,6702.51,,,,,,,,
1907,7304.76,,,,,,,,
1908,6587.9400000000005,,,,,,,,
1909,6521.64,,,,,,,,
1910,6174.87,,,,,,,,
1911,6715.530000000001,,,,,,,,
1912,6835.590000000001,,,,,,,,
1913,5940.42,,,,,,,,
1914,7348.59,,,,,,,,
1915,6072.419999999999,,,,,,,,
1916,7011.87,,,,,,,,
1917,7803.0,,,,,,,,
1918,7129.410000000002,,,,,,,,
1919,6474.0599999999995,,,,,,,,
1920,7149.120000000001,8399.55,,,,,,,
1921,6199.77,7514.219999999999,,,,,,,
1922,6746.369999999999,8149.4400000000005,,,,,,,
1923,7072.799999999999,8327.43,,,,,,,
1924,6862.05,8310.48,,,,,,,
1925,6634.680000000001,8334.720000000001,,,,,,,
1926,7243.77,8930.64,,,,,,,
1927,,,,,,,,,
1928,6341.16,8255.07,,,,,,,
1929,,8257.800000000001,,,,,,,
1930,,7662.389999999999,,,,,,,
1931,5804.009999999999,7010.19,,,,,,,
1932,6066.9,7644.120000000001,,,,,,,
1933,6523.02,8231.189999999999,,,,,,,
1934,7115.01,8651.43,,,,,,,
1935,6995.82,8608.83,,,,,,,
1936,6448.41,8450.19,,,,,,,
1937,5900.790000000001,7612.950000000001,,,,,,,
1938,,7706.31,,,,,,,
1939,,8858.22,,,,,,,
1940,7003.259999999998,8798.460000000001,,,,,,,
1941,6438.780000000001,7984.049999999999,,,5765.61,,,,
1942,6570.869999999999,7996.53,8735.76,,5822.82,,,,
1943,6992.16,8926.08,9701.25,,6524.37,,,,
1944,6535.83,8587.41,,,6260.52,8268.78,3267.51,,
1945,6293.49,8144.879999999999,8762.490000000002,4462.740000000001,6011.61,7964.04,,,
1946,,7909.26,8761.380000000001,,5539.14,7943.279999999999,,,
1947,,8440.5,,,5983.859999999999,8140.6500000000015,,,
1948,6752.28,8259.87,9018.96,,6058.139999999999,,,,
1949,5541.75,7373.880000000001,8329.56,,5046.990000000001,,,,
1950,5888.5199999999995,7895.64,8363.73,,5789.969999999999,,,,
1951,5543.3099999999995,7735.650000000001,8350.68,,5389.59,,,,
1952,5897.759999999999,7586.07,8458.5,,5495.849999999999,7741.860000000001,,,
1953,,6638.64,7387.889999999999,4516.9800000000005,4604.79,6774.33,,5034.4800000000005,
1954,,7597.59,8449.979999999998,5540.25,5666.3099999999995,7794.75,,6260.610000000001,
1955,6333.0599999999995,8240.52,8957.279999999999,6129.870000000001,6116.46,8358.66,,,
1956,6118.080000000001,8025.960000000001,8719.86,6042.0,6056.01,,,6457.89,
1957,5594.639999999999,7416.630000000001,8272.5,5481.389999999999,5366.639999999999,7730.52,,5877.51,
1958,,,8445.18,6185.58,6027.33,8031.63,,6524.58,
1959,6143.22,8313.66,8890.29,6138.9,5918.070000000001,,,,
1960,5798.28,7955.49,8082.99,5804.91,5755.83,,,6157.65,
1961,6482.849999999999,8336.61,8659.98,5858.49,6077.58,,,6632.85,
1962,,,8729.220000000001,6157.92,6254.88,,,7017.87,
1963,,8554.47,9114.060000000001,5990.79,6156.629999999999,,,7095.21,
1964,6018.69,7874.699999999999,8457.300000000001,5848.29,5898.2699999999995,,,,
1965,6650.7300000000005,8748.84,9072.09,6252.42,5929.35,,,7427.73,
1966,5730.8099999999995,7757.5199999999995,7779.449999999999,5733.6,5900.790000000001,,,6174.12,
1967,6546.84,8707.380000000001,9056.159999999998,6427.98,6388.74,,,7188.9,
1968,6398.19,,8554.32,6232.41,6091.29,,,6476.49,
1969,5635.08,,7836.8099999999995,5632.5,5441.34,,,6818.070000000001,
1970,6591.719999999999,,8616.39,6412.200000000001,6037.65,,,7395.63,
1971,6263.34,8527.529999999999,8828.7,6288.99,6330.299999999999,,,7463.700000000001,
